23	<edge6 (3, 1), aggr6 (3, 2), root1 (4, 3), aggr4 (2, 3), edge4 (1, 3)>	<edge6 (3, 1), aggr6 (3, 1), root0 (4, 3), aggr4 (1, 3), edge4 (1, 3)>
25	<edge0 (4, 1), aggr0 (3, 2), root1 (1, 2), aggr2 (2, 3), edge2 (1, 4)>	<edge0 (4, 1), aggr0 (3, 1), root0 (1, 2), aggr2 (1, 3), edge2 (1, 4)>
26	<edge0 (4, 1), aggr0 (3, 2), root1 (1, 3), aggr4 (2, 3), edge4 (1, 3)>	<edge0 (4, 1), aggr0 (3, 1), root0 (1, 3), aggr4 (1, 3), edge4 (1, 3)>
46	<edge6 (3, 1), aggr6 (3, 1), root0 (4, 3), aggr4 (1, 3), edge4 (1, 3)>	<edge6 (3, 1), aggr6 (3, 2), root1 (4, 3), aggr4 (2, 3), edge4 (1, 3)>
46	<edge0 (4, 1), aggr0 (3, 1), root0 (1, 3), aggr4 (1, 3), edge4 (1, 3)>	<edge0 (4, 1), aggr0 (3, 2), root1 (1, 3), aggr4 (2, 3), edge4 (1, 3)>
47	<edge2 (3, 1), aggr2 (3, 2), root1 (2, 3), aggr4 (2, 3), edge4 (1, 3)>	<edge2 (3, 1), aggr2 (3, 1), root0 (2, 3), aggr4 (1, 3), edge4 (1, 3)>
47	<edge6 (3, 1), aggr6 (3, 2), root1 (4, 3), aggr4 (2, 3), edge4 (1, 3)>	<edge6 (3, 1), aggr6 (3, 1), root0 (4, 3), aggr4 (1, 3), edge4 (1, 3)>
47	<edge0 (4, 1), aggr0 (3, 2), root1 (1, 3), aggr4 (2, 3), edge4 (1, 3)>	<edge0 (4, 1), aggr0 (3, 1), root0 (1, 3), aggr4 (1, 3), edge4 (1, 3)>
47	<edge3 (4, 1), aggr2 (4, 3), edge2 (1, 3)>	<edge3 (4, 2), aggr3 (4, 3), edge2 (2, 3)>
49	<edge0 (4, 1), aggr0 (3, 1), root0 (1, 2), aggr2 (1, 3), edge2 (1, 4)>	<edge0 (4, 1), aggr0 (3, 2), root1 (1, 2), aggr2 (2, 3), edge2 (1, 4)>
